Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_DATASET_UT_CSCAN;ONDE_DATASET_UT_CSCAN:UNDERLYING_DATA;reference to the dataset containing the underlying data;O;A;H5T_STD_REF_OBJ<ONDE_UT_ASCAN_DATASET> or H5T_STD_REF_OBJ<ONDE_UT_TSCAN_DATASET>;1;;;;
ONDE_DATASET_UT_CSCAN;ONDE_DATASET_UT_CSCAN:UNDERLYING_DATA_REFERENCE;Correspondancy between the C-Scan scalar data and the scan originating. For a A-Scan, the scan is expressed in terms of (dataframe, law). For a 2D Tscan, it will be (dataframe, column), for a 3D Tscan, it will be (dataframe, plane, column);M;D;H5T_INTEGER;[N_U<m>,N_V<m>,2] or [N_U<m>,N_V<m>,3];;;;
ONDE_DATASET_UT_CSCAN;ONDE_DATASET_UT_CSCAN:CSCAN_GRID;;M;A;H5T_STD_REF_OBJ<ONDE_ACQUISITION_GRID>;1;;;;
ONDE_DATASET_UT_CSCAN;ONDE_DATASET_UT_CSCAN:ONDE_UT_EXTRACTION;The referenced object describes the extraction process that was used  to obtain the Cscan data from the underlying data.;O;A;H5T_STD_REF_OBJ<ONDE_UT_EXTRACTION>;1;;;;
ONDE_DIMENSION;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_DIMENSION"];;;
ONDE_DIMENSION;ONDE_DIMENSION:COORDINATE;String defining the stored data (for the AMPLITUDE_DIMENSION) or the indexed coordinates (for INDEX_DIMENSIONS). The name can be either custom (MY_MATERIAL_PROPERTY for instance) or a standardized name: Time, Voltage, Pressure, Thickness, Time of flight, Depth, Amax, etc. The default interpretation if this value is unspecified depends on context (default coordinate is Amplitude for AMPLITUDE_DIMENSION or Time for INDEX_DIMENSIONs);O;A;H5T_STRING;1;;;;
ONDE_DIMENSION;ONDE_DIMENSION:UNITS;Units for the stored data (for the AMPLITUDE_DIMENSION) or for the indexed coordinates (for INDEX_DIMENSIONS). Units are strings such as "meters", "seconds", "arbitrary", etc. and should generally be spelled out for clarity.  All units must be MKS base units if applicable, except for angles, which should be in degrees rather than radians. The default interpretation if this value is unspecified depends on context (default units are arbitrary for AMPLITUDE_DIMENSION or seconds for INDEX_DIMENSIONS);O;A;H5T_STRING;1;;;;
ONDE_DIMENSION;ONDE_DIMENSION:OFFSET;Offset to be added to scaled stored data (for the AMPLITUDE_DIMENSION) or scaled zero-based integer indices (for INDEX_DIMENSIONS). Calibrated value in given units = (data or index)*SCALE + OFFSET. Default value of 0.0 if unspecified;O;A;H5T_FLOAT;1;;;;
ONDE_DIMENSION;ONDE_DIMENSION:SCALE;Scale to be applied to stored data (for the AMPLITUDE_DIMENSION) or integer indices (for INDEX_DIMENSIONS). Calibrated value in given units = (data or index)*SCALE + OFFSET. Default value of 1.0 if unspecified;O;A;H5T_FLOAT;1;;;;
ONDE_UT_GATE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_UT_GATE"];;;
