Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:ELEMENT_NUMBERING;Defines the element numbering relating the numbering implicitly defined by the probe description and the order defined in the element tables (ELEMENT_POSITION, ELEMENT_GEOMETRY, etc);O;D;H5T_INTEGER;[N_Elem<p>];;;;
ONDE_UT_COUPLING;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_UT_COUPLING"];;;
ONDE_UT_COUPLING;ONDE_UT_COUPLING:MEDIUM_VELOCITY;;M;A;H5T_FLOAT;[2];;;;
ONDE_UT_COUPLING;ONDE_UT_COUPLING:MEDIUM_DENSITY;;O;A;H5T_FLOAT;1;;;;
ONDE_UT_COUPLING;ONDE_UT_COUPLING:INCIDENCE_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_IMMERSION;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_UT_COUPLING", "ONDE_IMMERSION"];;;
ONDE_IMMERSION;ONDE_IMMERSION:WATER_PATH;;M;A;H5T_FLOAT;1;;;;
ONDE_WEDGE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_UT_COUPLING", "ONDE_WEDGE"];;;
ONDE_WEDGE;ONDE:LABEL;;O;A;H5T_STRING;1;;;;
ONDE_WEDGE;ONDE_WEDGE:MANUFACTURER;;O;A;H5T_STRING;1;;;;
ONDE_WEDGE;ONDE_WEDGE:SERIAL_NUMBER;;O;A;H5T_STRING;1;;;;
ONDE_WEDGE;ONDE_WEDGE:CONTACT_SURFACE;Type of the wedge contact surface - PLANAR, SPHERICAL, CYLINDRICAL_MAJOR, CYLINDRICAL_MINOR - If missing PLANAR assumed;M;A;H5T_STRING;;"PLANAR"|"SPHERICAL"|"CYLINDRICAL_MAJOR"|"CYLINDRICAL_MINOR";;;
ONDE_WEDGE;ONDE_WEDGE:CURVATURE_RADIUS;Wedge curvature radius (0 assumed if missing)  - Concave: positive - Convex: negative - Planar wedge: 0;O;A;H5T_FLOAT;1;;;;
ONDE_WEDGE;ONDE_WEDGE:CONTACT_AREA;Equivalent to L1, L2 and L3 (See Figure 15);M;A;H5T_FLOAT;[3];;;;
ONDE_WEDGE;ONDE_WEDGE:HEIGHT;For a wedge, distance of the ultrasonic beam between the probe center and the index point (See Figure 15);M;A;H5T_FLOAT;1;;;;
ONDE_WEDGE;ONDE_WEDGE:SKEW_ANGLE;wedge /skew angle (B) (See Figure 15);O;A;H5T_FLOAT;1;;;;
ONDE_WEDGE;ONDE_WEDGE:DISORIENTATION_ANGLE;wedge /disorientation angle (D) (See Figure 15);O;A;H5T_FLOAT;1;;;;
ONDE_SINGLE_WEDGE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_UT_COUPLING", "ONDE_WEDGE", "ONDE_SINGLE_WEDGE"];;;
ONDE_DUAL_WEDGE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_UT_COUPLING", "ONDE_WEDGE", "ONDE_DUAL_WEDGE"];;;
ONDE_DUAL_WEDGE;ONDE_DUAL_WEDGE:PROBE_SEPARATION;For dual probes, inter-probes distance (L6) (See Figure 15);M;A;H5T_FLOAT;1;;;;
ONDE_DUAL_WEDGE;ONDE_DUAL_WEDGE:ROOF_ANGLE;For dual probes and only for dual probes defines the roof angle (See Figure 15);M;A;H5T_FLOAT;1;;;;
ONDE_DUAL_WEDGE;ONDE_DUAL_WEDGE:SQUINT_ANGLE;For dual probes, squint angle (A2) (See Figure 15);M;A;H5T_FLOAT;1;;;;
ONDE_ACQUISITION_TRAJECTORY;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_ACQUISITION_TRAJECTORY"];;;
ONDE_TIME_TRAJECTORY;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_ACQUISITION_TRAJECTORY", "ONDE_TIME_TRAJECTORY"];;;
ONDE_TIME_TRAJECTORY;ONDE_TIME_TRAJECTORY:ACQUISITION_RATE;For time encoded trajectories, defines the acquisition rate;O;A;H5T_FLOAT;1;;;;
ONDE_SPATIAL_TRAJECTORY;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_ACQUISITION_TRAJECTORY", "ONDE_SPATIAL_TRAJECTORY"];;;
ONDE_SPATIAL_TRAJECTORY;ONDE_SPATIAL_TRAJECTORY:TRAJECTORY;List of positions and quaternions giving the positions and orientations of the trajectory frame at the different positions;O;D;H5T_FLOAT;[N_U<m>,N_V<m>,7];;;;
ONDE_ACQUISITION_GRID;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_ACQUISITION_TRAJECTORY", "ONDE_SPATIAL_TRAJECTORY", "ONDE_ACQUISITION_GRID"];;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:REFERENCE_SPECIMEN;When defining an acquisition grid, it is necessary to define a reference specimen that is either a cylinder or a plane.;M;A;H5T_STD_REF_OBJ<ONDE_COMPONENT>;1;;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:CYLINDER_DEFINITION;Defines whether the grid is expressed in the inner surface of the cylinder or on the outer surface;O;A;H5T_STRING;;"INNER"|"OUTER";;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:UV_GRID_FRAME;2D Frame defining the U_GRID and V_GRID directions of the encoding in the surface representation of the specimen (X,Y) for planar specimens, (X,THETA) for cylindrical specimens. (1,0,) is assumed if missing;O;A;H5T_FLOAT;[3];;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:U_GRID_DATA;The specified values of the first coder at the different positions;M;D;H5T_FLOAT;[N_U<m>];;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:V_GRID_DATA;The specified values of the second coder at the different positions. If missing while U_GRID_DATA is present, 1D array of data is assumed.;O;D;H5T_FLOAT;[N_V<m>];;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:SCAN_TYPE;Defines whether the data is ordered in the same direction for each scan (COMB) or is inversed every second scan (RASTER);M;A;H5T_STRING;1;"COMB"|"RASTER";;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:U_ENCODER;Obtained encoder values on the u axis;O;D;H5T_FLOAT;[N_V<m>,N_U<m>];;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:V_ENCODER;Obtained encoder values on the v axis;O;D;H5T_FLOAT;[N_V<m>,N_U<m>];;;;
ONDE_ACQUISITION_GRID;ONDE_ACQUISITION_GRID:PROBE_DIRECTION;For grid data, direction of the probe in the (u, v, w) coordinate system. Defaults to identity matrix.;O;D;H5T_FLOAT;[3,3];;;;
ONDE_ULTRASONIC_SETUP;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_ULTRASONIC_SETUP"];;;
ONDE_ULTRASONIC_SETUP;ONDE:LABEL;;O;A;H5T_STRING;1;;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:RECTIFICATION;Defines if the data are FULL_WAVE or RECTIFIED_POSITIVE, RECTIFIED_NEGATIVE, RECTIFIED_FULL;M;A;H5T_STRING;;"FULL_WAVE","RECTIFIED_POSITIVE","RECTIFIED_NEGATIVE","RECTIFIED_FULL";;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:FILTER_TYPE;Defines the type of filtering applied to the signals: NO_FILTER, LOW_PASS, HIGH_PASS, BAND_PASS, OTHER;O;A;H5T_STRING;;"NO_FILTER","LOW_PASS","HIGH_PASS","BAND_PASS","OTHER";;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:FILTER_PARAMETERS;Optional datafield providing analogue filter parameters - see notes for detailed explanation;O;A;H5T_FLOAT;1 or [N_Ascan<m>] or [ N_U<m>,N_V<m>,N_Ascan<m>];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:FILTER_DESCRIPTION;Description of the filtering applied;O;A;H5T_STRING;1;;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:ASCAN_SAMPLE_RATE;This indicates the sampling frequency of A-scan data points. It is assumed that a uniform sampling rate is used throughout A-scan data collection.;M;A;H5T_FLOAT;1;;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:ASCAN_START;This indicates the starting time for data acquisition. If dimension is 1, the same start time is used for all A-Scans, else a different start time is specified for each A-Scan.;M;D;H5T_FLOAT;1 or [N_Ascan<m>] or [ N_Ascan<m>,N_U<m>, N_V<m>];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:SIGNAL;Digitization of the emission signal (can be used to store arbitrary signals). If missing impulse emission at time 0.0 is assumed. 2D Array with one row for time and one for amplitude.;O;D;H5T_FLOAT;[N_TSig<m>,2];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:GAIN;This indicates the total gain for each A-scan during reception. Multiplying factor that was applied at acquisition.;M;D;H5T_FLOAT;[ N_Ascan<m> ];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:PRF;Pulse Repetition Frequency;O;D;H5T_FLOAT;[N_Ascan<m>] or [2];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:TCG_CURVE;TCG curve applied to the received signals. The amplitude correction is given for each time sample as a multiplying factor.;O;D;H5T_FLOAT;[N_Ascan<m>,N_TCG<m> ];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:PHASED_ARRAY_SETUP;;O;A;H5T_STD_REF_OBJ<ONDE_PHASED_ARRAY_SETUP>;1;;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:TRANSMIT_LAW;Each A-scan in a dataframe must be associated with both a transmit and a receive focal law through the datafields. These contain HDF5 references to the groups which provide the detailed description of each focal laws (the same structure is used for both transmit and receive focal laws). Mandatory for phased array setups.;M;D;H5T_STD_REF_OBJ<ONDE_UT_LAW>;[N_Ascan<m>] or [N_U<m>, N_V<m>, N_Ascan<m>];;;;
ONDE_ULTRASONIC_SETUP;ONDE_ULTRASONIC_SETUP:RECEIVE_LAW;Each A-scan in a dataframe must be associated with both a transmit and a receive focal law through the datafields. These contain HDF5 references to the groups which provide the detailed description of each focal laws (the same structure is used for both transmit and receive focal laws).Mandatory for phased array setups.;O;D;H5T_STD_REF_OBJ<ONDE_UT_LAW>;[N_Ascan<m>] or [N_U<m>, N_V<m>, N_Ascan<m>];;;;
ONDE_UT_LAW;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_UT_LAW"];;;
ONDE_UT_LAW;ONDE_UT_LAW:PROBE;;M;D;H5T_STD_REF_OBJ<ONDE_UT_PROBE>;[N_C<k>];;;;
ONDE_UT_LAW;ONDE_UT_LAW:ELEMENT;;M;D;H5T_INTEGER;[N_C<k>];;;;
ONDE_UT_LAW;ONDE_UT_LAW:DELAY;Specifies the relative delay (in ultrasonic time) between the different Probe Element Combinations in the focal law. The default value is zero delay for all Probe Element Combinations.;O;D;H5T_FLOAT;[N_C<k>];;;;
ONDE_UT_LAW;ONDE_UT_LAW:WEIGHTING;Specifies the weighting between the different Probe Element Combinations in the focal law. The default is one for all Probe Element Combinations.;O;D;H5T_FLOAT;[N_C<k>];;;;
ONDE_UT_LAW;ONDE_UT_LAW:PROPAGATION_LINE;Represents the ultrasonic ray along which the data is to be represented in a true visualisation. It contains at least two points in the Probe Coordinates Frame corresponding to the start and end of the ray. (x,y,z) positions in Probe Coordinate Frame and time of flight are stored).;O;D;H5T_FLOAT;[N_Points<k>,4];;;;
ONDE_PHASED_ARRAY_SETUP;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_PHASED_ARRAY_SETUP"];;;
ONDE_PHASED_ARRAY_SETUP;ONDE_PHASED_ARRAY_SETUP:EMITTER_PROBE;;M;A;H5T_STD_REF_OBJ<ONDE_UT_PROBE>;1;;;;
ONDE_PHASED_ARRAY_SETUP;ONDE_PHASED_ARRAY_SETUP:RECEIVING_PROBE;;M;A;H5T_STD_REF_OBJ<ONDE_UT_PROBE>;1;;;;
ONDE_PHASED_ARRAY_SETUP;ONDE_PHASED_ARRAY_SETUP:SEQUENCE_ANGLE_MODE;;M;A;H5T_STRING;;"L"|"T";;;
ONDE_PHASED_ARRAY_ANGLE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_ANGLE"];;;
ONDE_PHASED_ARRAY_ANGLE;ONDE_PHASED_ARRAY_ANGLE:BSCAN_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_SSCAN;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_SSCAN"];;;
ONDE_PHASED_ARRAY_SSCAN;ONDE_PHASED_ARRAY_SSCAN:STARTING_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_SSCAN;ONDE_PHASED_ARRAY_SSCAN:FINISHING_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_SSCAN;ONDE_PHASED_ARRAY_SSCAN:NUMBER_OF_ANGLES;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_ESCAN;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_ESCAN"];;;
ONDE_PHASED_ARRAY_ESCAN;ONDE_PHASED_ARRAY_ESCAN:NUMBER_OF_ELEMENTS;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_ESCAN;ONDE_PHASED_ARRAY_ESCAN:STEP;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_ESCAN;ONDE_PHASED_ARRAY_ESCAN:ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_PWI;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_PWI"];;;
ONDE_PHASED_ARRAY_PWI;ONDE_PHASED_ARRAY_PWI:STARTING_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_PWI;ONDE_PHASED_ARRAY_PWI:FINISHING_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_PWI;ONDE_PHASED_ARRAY_PWI:NUMBER_OF_ANGLES;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_COMPOUND;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_COMPOUND"];;;
ONDE_PHASED_ARRAY_COMPOUND;ONDE_PHASED_ARRAY_COMPOUND:INITIAL_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_COMPOUND;ONDE_PHASED_ARRAY_COMPOUND:FINAL_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_PHASED_ARRAY_COMPOUND;ONDE_PHASED_ARRAY_COMPOUND:NUMBER_OF_ANGLES;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_COMPOUND;ONDE_PHASED_ARRAY_COMPOUND:NUMBER_OF_ELEMENTS;;M;A;H5T_INTEGER;1;;;;
ONDE_PHASED_ARRAY_FMC;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PHASED_ARRAY_SETUP", "ONDE_PHASED_ARRAY_FMC"];;;
ONDE_COMPUTATION;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_COMPUTATION"];;;
ONDE_UT_EXTRACTION;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPUTATION", "ONDE_UT_EXTRACTION"];;;
ONDE_UT_EXTRACTION;ONDE_UT_EXTRACTION:GATE_LIST;References to the gates that are used for the extraction. The list can be of size 1 or 2.;M;A;H5T_STD_REF_OBJ<ONDE_UT_GATE>;[1] or [2];;;;
ONDE_UT_EXTRACTION;ONDE_UT_EXTRACTION:DATATYPE;Defines the type of extraction. The allowed values are *TIME_OF_FLIGHT*, *AMPLITUDE*, *DEPTH* or *ALARM*.;M;A;H5T_STRING;"TIME_OF_FLIGHT"|"AMPLITUDE"|"DEPTH"|"ALARM";;;;
ONDE_UT_EXTRACTION;ONDE_UT_EXTRACTION:VELOCITY;Defines the velocity of the wave in the material, used to translate the time of flight into depth.;O;A;H5T_FLOAT;1;;;;
